NP_598866.1	XP_073805285.1	46.154	273	130	6	4	267	439	703	1.06e-63	216
NP_598866.1	XP_009294521.1	46.154	273	130	6	4	267	420	684	2.42e-63	214
NP_598866.1	NP_001313634.1	46.154	273	130	6	4	267	476	740	6.45e-63	214
NP_598866.1	XP_009294513.1	46.154	273	130	6	4	267	475	739	6.71e-63	214
NP_598866.1	XP_073797936.1	31.818	132	81	5	4	131	297	423	4.67e-12	68.2
NP_598866.1	NP_001186666.1	33.071	127	76	5	4	126	338	459	7.41e-12	67.8
NP_598866.1	NP_001003517.2	30.400	125	82	4	4	126	344	465	3.32e-11	65.9
NP_598866.1	NP_001003517.2	30.645	62	41	2	53	113	43	103	0.56	33.9
NP_598866.1	NP_956073.2	34.444	90	56	3	40	126	527	616	2.42e-10	63.2
NP_598866.1	NP_956073.2	30.000	90	57	3	40	126	179	265	0.006	40.0
NP_598866.1	NP_956073.2	29.474	95	58	4	36	127	63	151	0.007	40.0
NP_598866.1	NP_998070.1	28.906	128	80	5	4	126	339	460	3.25e-09	59.7
NP_598866.1	XP_073780931.1	28.906	128	80	5	4	126	175	296	8.16e-09	57.8
NP_598866.1	NP_998529.3	25.899	139	98	4	13	149	343	478	2.36e-06	50.8
NP_598866.1	NP_998529.3	25.253	99	71	2	23	118	10	108	0.006	40.0
NP_598866.1	XP_073781781.1	23.438	128	93	4	2	127	371	495	5.78e-05	46.6
NP_598866.1	XP_073781781.1	30.435	92	59	3	55	143	76	165	2.06e-04	44.7
NP_598866.1	NP_001307463.1	23.438	128	93	4	2	127	371	495	5.78e-05	46.6
NP_598866.1	NP_001307463.1	30.435	92	59	3	55	143	76	165	2.06e-04	44.7
NP_598866.1	XP_685017.4	24.528	106	75	4	37	140	388	490	0.025	38.5
NP_598866.1	NP_998181.2	24.779	113	79	3	42	152	164	272	0.035	37.7
NP_598866.1	NP_998181.2	28.571	77	52	3	40	113	297	373	6.7	30.4
NP_598866.1	NP_922915.2	27.848	79	46	3	40	117	40	108	0.039	37.4
NP_598866.1	NP_922915.2	26.829	82	55	2	37	113	162	243	0.36	34.3
NP_598866.1	NP_001107048.1	29.032	62	40	2	55	113	181	241	0.10	36.2
NP_598866.1	NP_001107048.1	24.211	95	66	3	37	127	408	500	0.13	35.8
NP_598866.1	NP_001107048.1	24.691	81	57	2	37	113	286	366	0.35	34.7
NP_598866.1	XP_073796483.1	27.174	92	58	5	51	138	32	118	0.16	35.4
NP_598866.1	XP_073796484.1	27.174	92	58	5	51	138	32	118	0.18	35.4
NP_598866.1	NP_991204.1	32.759	58	37	2	55	111	80	136	0.41	33.5
NP_598866.1	NP_001018393.2	26.000	100	63	6	43	138	28	120	0.52	33.9
NP_598866.1	XP_073773445.1	25.581	86	56	4	56	138	40	120	0.55	33.9
NP_598866.1	XP_073783265.1	24.272	103	77	1	180	281	146	248	0.56	33.9
NP_598866.1	XP_073783264.1	24.272	103	77	1	180	281	146	248	0.56	33.9
NP_598866.1	XP_073783263.1	24.272	103	77	1	180	281	146	248	0.56	33.9
NP_598866.1	XP_073783262.1	24.272	103	77	1	180	281	146	248	0.56	33.9
NP_598866.1	XP_073783261.1	24.272	103	77	1	180	281	146	248	0.56	33.9
NP_598866.1	XP_073783260.1	24.272	103	77	1	180	281	146	248	0.56	33.9
NP_598866.1	XP_073783259.1	24.272	103	77	1	180	281	146	248	0.56	33.9
NP_598866.1	NP_001019983.2	24.272	103	77	1	180	281	146	248	0.56	33.9
NP_598866.1	NP_001108605.1	24.719	89	62	4	40	127	40	124	0.68	33.5
NP_598866.1	XP_073783266.1	28.049	82	58	1	201	281	167	248	0.73	33.5
NP_598866.1	XP_073783267.1	28.049	82	58	1	201	281	167	248	1.1	32.7
NP_598866.1	XP_005157246.1	18.705	139	100	2	123	252	59	193	1.4	32.7
NP_598866.1	NP_957186.1	22.727	88	62	2	32	113	26	113	1.8	32.3
NP_598866.1	XP_068071894.1	31.169	77	45	2	134	207	2367	2438	2.3	32.3
NP_598866.1	XP_073790383.1	31.169	77	45	2	134	207	2379	2450	2.3	32.3
NP_598866.1	XP_009293385.1	31.169	77	45	2	134	207	2379	2450	2.3	32.3
NP_598866.1	XP_073790384.1	31.169	77	45	2	134	207	2339	2410	2.3	32.3
NP_598866.1	XP_009293389.1	31.169	77	45	2	134	207	2367	2438	2.3	32.3
NP_598866.1	XP_073790386.1	31.169	77	45	2	134	207	2379	2450	2.3	32.3
NP_598866.1	XP_068071893.1	31.169	77	45	2	134	207	2414	2485	2.3	32.3
NP_598866.1	XP_073790417.1	31.169	77	45	2	134	207	2260	2331	2.3	32.3
NP_598866.1	XP_073790401.1	31.169	77	45	2	134	207	2292	2363	2.3	32.3
NP_598866.1	XP_073790396.1	31.169	77	45	2	134	207	2339	2410	2.3	32.3
NP_598866.1	XP_073790387.1	31.169	77	45	2	134	207	2379	2450	2.3	32.3
NP_598866.1	XP_009293388.1	31.169	77	45	2	134	207	2414	2485	2.3	32.3
NP_598866.1	XP_068071898.1	31.169	77	45	2	134	207	2367	2438	2.3	32.3
NP_598866.1	XP_068071897.1	31.169	77	45	2	134	207	2367	2438	2.3	32.3
NP_598866.1	XP_073790416.1	31.169	77	45	2	134	207	2292	2363	2.4	32.3
NP_598866.1	XP_073790414.1	31.169	77	45	2	134	207	2295	2366	2.4	32.3
NP_598866.1	XP_073790413.1	31.169	77	45	2	134	207	2295	2366	2.4	32.3
NP_598866.1	XP_073790412.1	31.169	77	45	2	134	207	2295	2366	2.4	32.3
NP_598866.1	XP_073790411.1	31.169	77	45	2	134	207	2295	2366	2.4	32.3
NP_598866.1	XP_073790410.1	31.169	77	45	2	134	207	2260	2331	2.4	32.3
NP_598866.1	XP_073790408.1	31.169	77	45	2	134	207	2260	2331	2.4	32.3
NP_598866.1	XP_073790407.1	31.169	77	45	2	134	207	2260	2331	2.4	32.3
NP_598866.1	XP_073790406.1	31.169	77	45	2	134	207	2327	2398	2.4	32.3
NP_598866.1	XP_068071899.1	31.169	77	45	2	134	207	2332	2403	2.4	32.3
